Мақоми давлатӣ,Категория,№,Рамзи хизматрасонӣ,Номгӯйи хизматрасонӣ,Гирандаи хизматрасонӣ,Хизматрасонанда,Ташкилоти қабул ва додани натиҷа,Шакли хизматрасонӣ,Музднок ё ройгон
КУМИТАИ ТЕЛЕВИЗИОН ВА РАДИОИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,,677,000677,Иҷозатнома барои фаъолият дар соҳаи радио,Шахсони ҳуқуқӣ,Бозрасии давлатии назорат дар соҳаи телевизион ва радиошунавонӣ,Бозрасии давлатии назорат дар соҳаи телевизион ва радиошунавонӣ,"Коғазӣ, электронӣ",Музднок
ХАДАМОТИ ЗИДДИИНҲИСОРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Розигӣ,735,000735,Розигӣ барои таъсис ва аз нав ташкил додани шахси ҳуқуқии дорои мавқеи ҳукмфармоӣ,Шахси ҳуқуқӣ,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ХАДАМОТИ ЗИДДИИНҲИСОРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Розигӣ,736,000736,"Розигӣ барои азнавташкилдиҳӣ, сармоягузорӣ ва бастани аҳдҳо аз ҷониби субъектҳои монополияи табиӣ",Шахси ҳуқуқӣ,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ХАДАМОТИ ЗИДДИИНҲИСОРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Розигӣ,737,000737,"Розигӣ барои таъсис ва азнавташкилдиҳии субъектҳои хоҷагидор, агар андозаи арзиши сармояи оинномавӣ (шарикона)-и онҳо аз панҷоҳ ҳазор нишондиҳанда барои ҳисобҳо бештар бошад",Шахси ҳуқуқӣ,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ХАДАМОТИ ЗИДДИИНҲИСОРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Розигӣ,738,000738,"Розигӣ барои муттаҳидшавии шахси ҳуқуқӣ ё ҳамроҳ шудани шахси ҳуқуқӣ ба дигар шахси ҳуқуқӣ, агар арзиши умумии тавозунии дороиҳои онҳо (дороиҳои гурўҳи шахсон) мувофиқи тавозуни охирин аз сад ҳазор нишондиҳанда барои ҳисобҳо бештар бошад",Шахси ҳуқуқӣ,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ХАДАМОТИ ЗИДДИИНҲИСОРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Розигӣ,739,000739,Розигӣ барои таъсиси шахси ҳуқуқӣ ҳангоми пардохти сармояи оинномавӣ (шарикона)-и он бо саҳмияҳо ва ҳиссаҳо ё молу мулки дигар шахси ҳуқуқӣ,Шахси ҳуқуқӣ,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ХАДАМОТИ ЗИДДИИНҲИСОРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Розигӣ,740,000740,Розигӣ барои ба даст овардани саҳмияҳои овоздор дар сармояи оинномавии субъектҳои хоҷагидор,Шахси ҳуқуқӣ,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ХАДАМОТИ ЗИДДИИНҲИСОРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Розигӣ,741,000741,"Розигӣ барои барҳамдиҳӣ ва тақсимкунӣ (ҷудокунӣ)-и шахси ҳуқуқӣ, ки арзиши дороиҳояш аз бисту панҷ ҳазор нишондиҳанда барои ҳисобҳо зиёд аст, агар ин боиси ташкил ёфтани шахси ҳуқуқие гардад, ки дар бозори мол мавқеи ҳукмфармоиро дорад",Шахси ҳуқуқӣ,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,Хадамоти зиддиинҳисории назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,765,000765,Иҷозатнома барои фаъолият оид ба мусофиркашонӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,766,000766,Иҷозатнома барои фаъолият оид ба боркашонӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,767,000767,Иҷозатнома барои фаъолият оид ба мусофиркашонии мунтазами дохилӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,768,000768,Иҷозатнома барои фаъолият оид ба боркашонии мунтазами дохилӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,769,000769,Иҷозатнома барои фаъолият оид ба мусофиркашонии мунтазами байналмилалӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,770,000770,Иҷозатнома барои фаъолият оид ба боркашонии мунтазами байналмилалӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,771,000771,Иҷозатнома барои фаъолият оид ба мусофиркашонии ғайримунтазам (чартерӣ)-и дохилӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,772,000772,Иҷозатнома барои фаъолият оид ба мусофиркашонии ғайримунтазам (чартерӣ)-и байналмилалӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,773,000773,Иҷозатнома барои фаъолият оид ба боркашонии ғайримунтазам (чартерӣ)-и дохилӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,774,000774,Иҷозатнома барои фаъолият оид ба боркашонии ғайримунтазам (чартерӣ)-и байналмилалӣ тавассути нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,775,000775,Иҷозатнома барои фаъолияти агентӣ оид ба фурўши чиптаи мусофиркашонии интиқоли авиатсионӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,776,000776,Иҷозатнома барои фаъолияти бо хўрокворӣ таъмин намудани мусофирон (экипаж)-и киштиҳои ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,777,000777,Иҷозатнома барои фаъолият оид ба хизматрасонии техникӣ ҳангоми парвози нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,778,000778,Иҷозатнома барои фаъолият оид ба таъмир ва хизматрасонии техникии нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,779,000779,Иҷозатнома барои фаъолият оид ба таъмини ҳавопаймо бо сӯзишвории авиатсионӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,780,000780,Иҷозатнома барои фаъолият оид таъмини муҳандисию авиатсионии ҳавопаймо,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,781,000781,Иҷозатнома барои фаъолияти терминалҳои мусофиркашонӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,782,000782,Иҷозатнома барои фаъолияти терминалҳои боркашонӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,783,000783,"Иҷозатнома барои фаъолият оид ба таъминоте, ки бевосита ба парвоз ва нишасти ҳавопаймо вобаста аст (аэродромӣ, электросветотехникӣ, радиотехникӣ, метеорологӣ, штурманӣ, орнитологӣ, ҷустуҷўйӣ ва садамавию наҷотдиҳӣ, таъмини идоракунии ҳаракати ҳавоӣ, иттилооти аэронавигатсионӣ, бехатарии авиатсионӣ)",Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,784,000784,Иҷозат барои истифодабарии фазои ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,785,000785,Иҷозат барои парвози байналмилалии мунтазам (чартерӣ)-и ҳавопаймоҳо,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,786,000786,Иҷозат барои парвози байналмилалии ғайримунтазам (чартерӣ)-и ҳавопаймоҳо,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,787,000787,Иҷозат барои интиқоли ҳавоии борҳои хатарнок,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Мувофиқасозӣ,788,000788,"Мувофиқасозии сохтмони биноҳо ва иншоотҳое, ки дар минтақаи аэродромҳо ҷойгир мебошанд",Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Мувофиқасозӣ,789,000789,"Мувофиқасозииазнавсозии биноҳо ва иншоотҳое, ки дар минтақаи аэродромҳо ҷойгир мебошанд",Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Сертификат,790,000790,Сертификат барои фаъолияти ташкилотҳо (корхонаҳо)-и авиатсионӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Сертификат,791,000791,Сертификати ташкилотҳо (корхонаҳо)-и таълимии авиатсионӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Сертификат,792,000792,Сертификати мутобиқат барои фаъолияти нақлиётӣ-экспедитсионӣ дар нақлиёти ҳавоӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Сертификат,793,000793,"Сертификати шахси ҳуқуқӣ, ки хизматрасонии техникӣ ва таъмири техникаҳои авиатсиониро анҷом медиҳад",Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,794,000794,Шаҳодатнома оид ба истифодаи ҳавопаймои бесарнишини гражданӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,795,000795,Шаҳодатномаи бақайдгирии киштии ҳавоии гражданӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,796,000796,Шаҳодатномаи азнавбақайдгирии киштии ҳавоии гражданӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,797,000797,Шаҳодатномаи бақайдгирии давлатии аэродром ё фурудгоҳи ҳавоии байналмилалӣ ва маҳаллӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,798,000798,Шаҳодатнома (сертификат)-и фурудгоҳҳои байналмилалӣ ва маҳаллӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ АВИАТСИЯИ ГРАЖДАНИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,799,000799,Шаҳодатнома (сертификат)-и хадамоти таҷҳизоти аэронавигатсионӣ,Шахсони ҳуқуқӣ,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,Агентии авиатсияи граждании назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ БЕҲДОШТИ ЗАМИН ВА ОБЁРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,,800,000800,Шартнома (иҷозат) дар барои обрасонӣ аз шабакаҳои давлатӣ ба соҳаи кишоварзӣ,Шахсони ҳуқуқӣ,Идораҳои давлатии беҳдошти замин ва обёрии шаҳру ноҳияҳо,Идораҳои давлатии беҳдошти замин ва обёрии шаҳру ноҳияҳо,"Коғазӣ, электронӣ",Музднок
САРИДОРАИ ГЕОЛОГИЯИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумотнома,831,000831,Маълумотномаи омўзиши геологӣ ва нусхабардории мавод,Шахсони ҳуқуқӣ,Саридораи геологияи назди Ҳукумати Ҷумҳурии Тоҷикистон,Саридораи геологияи назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
САРИДОРАИ ГЕОЛОГИЯИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Санад,832,000832,Санад оид ба хизматрасонии давлатии машваратӣ дар таҳияи ҳисоботи геологӣ ва лоиҳаи омўзиши геологӣ,Шахсони ҳуқуқӣ,Саридораи геологияи назди Ҳукумати Ҷумҳурии Тоҷикистон,Саридораи геологияи назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
САРИДОРАИ ГЕОЛОГИЯИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Санад,833,000833,Санад оид ба хизматрасонии давлатӣ ҷиҳати додани хулосаи тадқиқоти визуалии муҳандисию геологӣ,Шахсони ҳуқуқӣ,Саридораи геологияи назди Ҳукумати Ҷумҳурии Тоҷикистон,Саридораи геологияи назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,842,000842,Иҷозатнома оид ба фаъолияти аудиторӣ барои аудити ташкилотҳои қарзӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,843,000843,Иҷозатнома оид ба фаъолияти аудиторӣ барои аудити ташкилотҳои қарзии исломӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,844,000844,Иҷозатнома оид ба фаъолияти аудиторӣ барои аудити ташкилотҳои суғуртавӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,845,000845,Иҷозатнома оид ба фаъолияти суғуртавӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,846,000846,Иҷозатнома оид ба фаъолияти азнавсуғуртакунӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,847,000847,Иҷозатнома оид ба фаъолияти брокери суғуртавӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,848,000848,Иҷозатнома оид ба фаъолияти актуарӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,850,000850,Иҷозатнома оид ба фаъолияти адҷастерӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,851,000851,Иҷозатнома оид ба фаъолияти сюрвейери суғуртавӣ,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
БОНКИ МИЛЛИИ ТОҶИКИСТОН,Иҷозатнома,852,000852,Иҷозатнома оид ба фаъолияти бюрои таърихи қарз,Шахсони ҳуқуқӣ,Бонки миллии Тоҷикистон,Бонки миллии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
